지점,지점명,위도,경도
3,선봉,42.3167,130.4
5,삼지연,41.8167,128.3167
8,청진,41.7833,129.8167
14,중강,41.7833,126.8833
16,혜산,41.4,128.1667
20,강계,40.9667,126.6
22,풍산,40.8167,128.15
25,김책,40.6667,129.2
28,수풍,40.45,124.9333
31,장진,40.3667,127.25
35,신의주,40.1,124.3833
37,구성,39.9833,125.25
39,희천,40.1667,126.25
41,함흥,39.9333,127.55
46,신포,40.0333,128.1833
50,안주,39.6167,125.65
52,양덕,39.1667,126.8333
55,원산,39.1833,127.4333
58,평양,39.0333,125.7833
60,남포,38.7167,125.3667
61,장전,38.7333,128.1833
65,사리원,38.5167,125.7667
67,신계,38.5,126.5333
68,용연,38.2,124.8833
69,해주,38.0333,125.7
70,개성,37.9667,126.5667
75,평강,38.4,127.3
90,속초,38.2509,128.5647
92,양양공항,38.0667,128.6667
93,북춘천,37.9475,127.7547
93,북춘천,37.9474,127.7544
94,광덕산,38.1172,127.4333
95,철원,38.1479,127.3042
96,독도,37.2395,131.8698
98,동두천,37.9019,127.0607
99,파주,37.8859,126.7665
99,문산,37.8859,126.7665
100,대관령,37.6771,128.7183
100,대관령,37.6869,128.7587
101,춘천,37.9026,127.7357
102,백령도,37.974,124.7124
102,백령도,37.9661,124.6305
102,백령,37.9661,124.6305
104,북강릉,37.8046,128.8554
105,강릉,37.7515,128.891
106,동해,37.5071,129.1243
108,서울,37.5714,126.9658
110,김포공항,37.5569,126.7975
112,인천,37.4777,126.6249
112,인천,37.4776,126.6244
113,인천공항,37.4625,126.4392
114,원주,37.3375,127.9466
115,울릉도,37.4813,130.8986
115,울릉도독도(감),37.48,130.9
116,관악산,37.4453,126.964
116,관악(레),37.4433,126.967
116,관악산,37.4442,126.9639
119,수원,37.2723,126.9853
121,영월,37.1813,128.4574
127,충주,36.9705,127.9525
129,서산,36.7766,126.4939
130,울진,36.9918,129.4128
131,청주,36.6392,127.4407
132,안면도(감),36.54,126.33
132,안면도(감),36.5383,126.33
132,안면센터,36.5383,126.33
133,대전,36.372,127.3721
135,추풍령,36.2203,127.9946
135,추풍령,36.2202,127.9946
136,안동,36.5729,128.7073
136,안동,36.573,128.7073
137,상주,36.4084,128.1574
138,포항,36.032,129.38
140,군산,36.0053,126.7614
140,군산,35.993,126.7057
143,대구,35.8852,128.619
143,대구,35.878,128.653
143,대구,35.8282,128.6522
144,군산(레),36.0123,126.7834
144,오성산,36.0127,126.7839
146,전주,35.8215,127.155
146,전주,35.8408,127.119
151,울산공항,35.5933,129.3522
152,울산,35.5826,129.3344
152,울산,35.5825,129.3347
152,울산,35.5601,129.3203
155,창원,35.1702,128.5729
155,마산,35.1671,128.5751
155,마산,35.1903,128.5652
156,광주,35.1729,126.8916
159,부산,35.1047,129.032
160,부산(레),35.1188,129
160,구덕산,35.1188,129
162,통영,34.8455,128.4356
163,무안공항,34.9914,126.3831
164,무안,35.0938,126.2851
165,목포,34.8169,126.3812
167,여수공항,34.8467,127.6125
168,여수,34.7393,127.7406
169,흑산도,34.6872,125.451
170,완도,34.3959,126.7018
172,고창,35.3489,126.599
174,순천,35.0204,127.3694
175,진도(첨찰산),34.4721,126.3238
176,대구(기),35.8782,128.6522
177,홍성,36.6576,126.6877
177,홍성(예),36.6575,126.6877
182,제주공항,33.5167,126.5
184,제주,33.5141,126.5297
